City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vieux-Habitants,GP,84.7,few clouds,16.0589,-61.7659,Clos du Manguier
3,Kavaratti,IN,80.94,overcast clouds,10.5669,72.642,Green leaf
4,Victoria,HK,87.33,overcast clouds,22.2855,114.1577,Mini Central
5,Jamestown,US,87.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Heiligenhafen,DE,73.74,clear sky,54.3667,10.9833,Aparthotel Ostseeresidenz Heiligenhafen
8,Goderich,CA,78.91,overcast clouds,43.7501,-81.7165,Harmony Inn
11,Srivardhan,IN,79.02,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
13,Margate,GB,85.1,few clouds,51.3813,1.3862,Premier Inn Margate hotel
15,Hambantota,LK,75.54,moderate rain,6.1241,81.1185,Bungalow 63
28,Bandarbeyla,SO,75.18,scattered clouds,9.4942,50.8122,JABIR HOTEL
30,Deogarh,IN,78.13,overcast clouds,21.5333,84.7333,Amit Henej House
33,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
37,Diplo,PK,83.97,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
38,Salalah,OM,77.38,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Las Palmas,ES,74.19,few clouds,28.4204,-14.0131,Casillas De Morales 59.
40,Nisia Floresta,BR,79.61,clear sky,-6.0911,-35.2086,Rancho Crepusculo
44,Cape Coast,GH,74.35,overcast clouds,5.1053,-1.2466,Samrit Hotel
46,Ayolas,PY,70.07,clear sky,-27.4,-56.9,Hotel Ayolas
47,Callaway,US,89.98,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
48,Nieuw Amsterdam,SR,82.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
49,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
50,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
51,Ovalle,CL,72.16,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
52,Cap Malheureux,MU,70.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
53,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
56,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
