City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vieux-Habitants,GP,16.0589,-61.7659,84.7,69,18,12.84,few clouds
1,San Antonio,US,29.4241,-98.4936,103.06,37,40,14.97,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,35.85,92,100,5.39,overcast clouds
3,Kavaratti,IN,10.5669,72.642,80.94,80,100,22.03,overcast clouds
4,Victoria,HK,22.2855,114.1577,87.33,80,100,8.01,overcast clouds
5,Jamestown,US,42.097,-79.2353,87.06,52,0,14.97,clear sky
6,Heiligenhafen,DE,54.3667,10.9833,73.74,51,1,9.78,clear sky
7,Hermanus,ZA,-34.4187,19.2345,44.8,73,33,4.72,scattered clouds
8,Goderich,CA,43.7501,-81.7165,78.91,81,87,4.52,overcast clouds
9,Tasiilaq,GL,65.6145,-37.6368,40.44,80,41,1.01,scattered clouds
10,Punta Arenas,CL,-53.15,-70.9167,41.11,75,75,9.22,broken clouds
11,Srivardhan,IN,18.0333,73.0167,79.02,88,100,9.35,overcast clouds
12,Desaguadero,PE,-16.5656,-69.0417,55.76,31,7,13.0,clear sky
13,Margate,GB,51.3813,1.3862,85.1,53,13,1.01,few clouds
14,Taltal,CL,-25.4,-70.4833,65.46,58,24,5.61,few clouds
15,Hambantota,LK,6.1241,81.1185,75.54,100,75,3.44,moderate rain
16,Rio Grande,BR,-32.035,-52.0986,62.71,73,0,7.02,clear sky
17,Cidreira,BR,-30.1811,-50.2056,60.51,74,77,7.92,broken clouds
18,Port Elizabeth,ZA,-33.918,25.5701,58.32,99,100,7.0,heavy intensity rain
19,Cape Town,ZA,-33.9258,18.4232,54.91,78,1,5.99,clear sky
20,Bloemfontein,ZA,-29.1211,26.214,50.23,51,1,5.77,clear sky
21,Palmas,BR,-10.2128,-48.3603,91.27,29,20,5.75,few clouds
22,Quatre Cocos,MU,-20.2078,57.7625,68.09,70,24,24.72,light rain
23,Qaanaaq,GL,77.484,-69.3632,43.63,66,4,3.69,clear sky
24,East London,ZA,-33.0153,27.9116,66.34,82,9,12.1,clear sky
25,Port-Cartier,CA,50.0334,-66.8654,65.75,99,100,2.53,overcast clouds
26,Umm Lajj,SA,25.0213,37.2685,90.39,46,0,8.25,clear sky
27,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,41,21.43,light rain
28,Bandarbeyla,SO,9.4942,50.8122,75.18,84,50,35.05,scattered clouds
29,Hauge,NO,58.3436,6.2812,68.7,59,85,8.28,overcast clouds
30,Deogarh,IN,21.5333,84.7333,78.13,87,100,3.67,overcast clouds
31,Longyearbyen,SJ,78.2186,15.6401,51.64,82,40,3.44,scattered clouds
32,Saint George,US,37.1041,-113.5841,102.94,21,0,5.01,clear sky
33,San Cristobal,VE,7.7669,-72.225,80.78,53,54,8.05,broken clouds
34,Bonavista,CA,48.6499,-53.1147,65.55,83,100,10.89,light rain
35,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,9.22,light rain
36,Busselton,AU,-33.65,115.3333,57.63,78,100,9.69,overcast clouds
37,Diplo,PK,24.4667,69.584,83.97,80,99,19.33,overcast clouds
38,Salalah,OM,17.0151,54.0924,77.38,96,100,6.35,light rain
39,Las Palmas,ES,28.4204,-14.0131,74.19,78,20,11.5,few clouds
40,Nisia Floresta,BR,-6.0911,-35.2086,79.61,76,5,13.94,clear sky
41,Upernavik,GL,72.7868,-56.1549,45.55,73,100,5.79,overcast clouds
42,Barabinsk,RU,55.3571,78.357,55.76,88,17,5.23,few clouds
43,Tahta,EG,26.7693,31.5021,92.17,18,0,6.93,clear sky
44,Cape Coast,GH,5.1053,-1.2466,74.35,77,100,9.48,overcast clouds
45,Alta Floresta,BR,-9.8756,-56.0861,95.14,17,3,4.61,clear sky
46,Ayolas,PY,-27.4,-56.9,70.07,67,5,4.43,clear sky
47,Callaway,US,30.153,-85.5699,89.98,73,70,7.0,broken clouds
48,Nieuw Amsterdam,SR,5.8833,-55.0833,82.02,84,100,6.17,overcast clouds
49,Ponta Do Sol,PT,32.6667,-17.1,74.71,74,5,5.77,clear sky
50,Dingle,PH,10.9995,122.6711,76.89,90,100,2.75,overcast clouds
51,Ovalle,CL,-30.5983,-71.2003,72.16,30,0,2.37,clear sky
52,Cap Malheureux,MU,-19.9842,57.6142,70.47,67,31,13.0,scattered clouds
53,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,6.91,scattered clouds
54,Port Alfred,ZA,-33.5906,26.891,60.19,91,95,5.01,overcast clouds
55,Sungurlu,TR,40.1675,34.3739,62.28,61,0,7.92,clear sky
56,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,0,10.36,clear sky
57,Talara,PE,-4.5772,-81.2719,72.36,68,0,12.66,clear sky
58,Georgetown,MY,5.4112,100.3354,79.9,90,20,0.0,few clouds
59,Dikson,RU,73.5069,80.5464,45.12,82,100,13.22,overcast clouds
60,Souillac,MU,-20.5167,57.5167,69.1,71,26,22.95,light rain
61,Mar Del Plata,AR,-38.0023,-57.5575,56.95,53,0,18.99,clear sky
62,Manadhoo,MV,5.7667,73.3833,81.45,79,73,19.06,broken clouds
63,Shar,KZ,49.5886,81.0453,63.64,52,97,5.64,overcast clouds
64,Diban,SY,35.0365,40.5167,97.88,11,0,9.42,clear sky
65,Lebu,CL,-37.6167,-73.65,51.69,61,0,3.31,clear sky
66,Kashi,CN,39.4547,75.9797,83.48,18,0,11.45,clear sky
67,Upata,VE,8.0086,-62.3989,83.19,88,77,3.56,broken clouds
68,Marawi,PH,7.9986,124.2928,68.54,94,90,2.51,overcast clouds
69,Bambous Virieux,MU,-20.3428,57.7575,68.22,69,9,25.14,light rain
70,Chuy,UY,-33.6971,-53.4616,53.49,65,1,5.79,clear sky
71,Oeiras,BR,-7.0253,-42.1311,94.84,24,85,9.24,overcast clouds
72,Lagos,NG,6.5833,3.75,74.26,78,96,5.35,overcast clouds
73,Mahebourg,MU,-20.4081,57.7,68.25,70,10,25.32,light rain
74,Nara,JP,34.6851,135.8049,77.5,68,100,1.19,overcast clouds
75,Cravo Norte,CO,6.3017,-70.2041,72.34,93,100,5.41,overcast clouds
76,Marevo,RU,57.3146,32.0804,56.05,96,89,4.72,light rain
77,Skelleftea,SE,64.7507,20.9528,64.0,75,75,5.75,broken clouds
78,Matane,CA,48.8286,-67.522,63.77,96,100,4.21,overcast clouds
79,Gat,IL,31.61,34.7642,84.4,100,0,6.22,clear sky
80,Mutoko,ZW,-17.397,32.2268,57.47,73,66,4.9,broken clouds
81,Krasnoselkup,RU,65.7,82.4667,58.71,60,100,8.37,overcast clouds
82,Sorland,NO,67.667,12.6934,55.26,83,58,5.06,broken clouds
83,Jijiga,ET,9.35,42.8,65.64,65,100,16.58,overcast clouds
84,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,6.91,scattered clouds
85,Santa Rosa,PH,14.3122,121.1114,83.1,80,8,5.48,clear sky
86,Codrington,AU,-38.2667,141.9667,36.0,95,7,7.67,clear sky
87,Bud,US,39.447,-86.1758,89.58,63,24,3.2,few clouds
88,Itaueira,BR,-7.6033,-43.0256,92.7,25,24,8.46,few clouds
89,Qaqortoq,GL,60.7167,-46.0333,47.23,90,100,6.24,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,47.88,87,14,4.36,few clouds
91,Husavik,IS,66.0449,-17.3389,50.16,88,100,7.36,overcast clouds
92,Trofors,NO,65.5333,13.4063,53.47,77,100,1.54,overcast clouds
93,Yershichi,RU,53.6725,32.7542,56.07,92,21,4.27,few clouds
94,La Fria,VE,8.2203,-72.2439,89.71,45,26,6.78,scattered clouds
95,Sladkovo,RU,55.5284,70.3385,62.92,67,100,4.29,overcast clouds
96,Aswan,EG,24.0934,32.907,94.71,15,0,9.35,clear sky
97,Glace Bay,CA,46.1969,-59.957,72.16,96,100,13.8,overcast clouds
98,Augustow,PL,53.8432,22.9798,63.14,88,79,5.17,broken clouds
99,Amapa,BR,1.0,-52.0,85.23,59,12,5.23,few clouds
100,Lasa,IT,46.6166,10.7002,71.11,87,25,3.33,scattered clouds
101,Goose Creek,US,32.981,-80.0326,93.02,69,97,4.0,overcast clouds
102,Junin,AR,-34.5838,-60.9433,62.78,33,0,11.68,clear sky
103,Tucurui,BR,-3.7661,-49.6725,90.61,44,97,2.55,overcast clouds
104,Odweyne,SO,9.4092,45.064,76.1,45,87,19.91,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,36.28,96,100,6.91,overcast clouds
106,Kruisfontein,ZA,-34.0033,24.7314,54.88,90,100,13.33,light rain
107,Hamilton,US,39.1834,-84.5333,91.74,59,0,9.22,clear sky
108,Verkhovazhye,RU,60.7472,42.0465,55.11,95,100,14.16,light rain
